Trait,Scheme,EID,n,rmseFm1,rmseFm2,rmseFm3
SA,0/28,Porvenir_2020,155,0.8706875927167569,0.8641522230838029,0.8980297494285074
SA,0/28,Porvenir_2021,155,1.2154115910300918,1.211629272799071,1.2161807498250607
SA,0/28,Taula_2018,155,1.4641693347457005,1.457136568012892,1.4514100062803372
SA,0/28,Taula_2019,155,1.29052093538903,1.283233146214639,1.2906753347613313
SA,0/31,Balsora_2016,155,1.863226340457052,1.860402660033526,1.8270217640592328
SA,0/31,Balsora_2017,155,1.821887352308005,1.8200144418203372,1.8298674922766045
SA,0/31,Porvenir_2020,155,0.8701334505102125,0.8649999446123375,0.875077386622438
SA,0/31,Porvenir_2021,155,1.1817763895250084,1.1812933896928632,1.2018916160390831
SA,0/31,Taula_2018,155,1.508826239962997,1.4992726646350336,1.4636830863966441
SA,0/31,Taula_2019,155,1.2867407386969065,1.281916456132235,1.2824128624412818
SA,12/0,Balsora_2016,155,1.7599683049456145,1.6993178332576184,1.7603949596275097
SA,12/0,Balsora_2017,155,1.740913743361671,1.6908615106540126,1.7166500965041134
SA,12/0,Porvenir_2020,155,0.9447625412533074,0.895026902355959,0.9081809925108528
SA,12/0,Porvenir_2021,155,1.3075772099479364,1.2754737415157227,1.243850379875948
SA,12/0,Taula_2018,155,1.3912946443623606,1.3585234051290647,1.3496834794229629
SA,12/0,Taula_2019,155,1.2316721382153897,1.16513564346322,1.1049725112524034
SA,12/12,Balsora_2016,155,1.7845868437433738,1.7476178863064098,1.7774315870066282
