season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2018,jardin,G_Sultanina.Monococo,1,R3,628,17,0.05833999999999999
2018,jardin,G_Sultanina.Monococo,2,R1,603,16.8,0.05322
2018,jardin,G_Sultanina.Monococo,2,R2,620,17,0.04329000000000001
2018,jardin,G_Sultanina.Monococo,2,R3,626,15,0.03693
2018,jardin,G_Superior,1,R1,234,17.2,0.002290000000000003
2018,jardin,G_Superior,1,R2,140,18.8,0.004530000000000001
2018,jardin,G_Superior,2,R1,261,19.2,0
2018,jardin,G_Superior,3,R1,262,18,0.0015600000000000002
2018,jardin,G_Superior,3,R2,489,16.2,0.002230000000000004
2018,jardin,G_Superior,4,R1,345,16.2,0.0015800000000000037
2018,jardin,G_Superior,4,R2,143,18.6,9.80000000000003e-4
2018,jardin,G_Superior,4,R3,259,17.2,0.0017400000000000026
2018,jardin,G_Tandaya,1,R1,592,19,0.048799999999999996
2018,jardin,G_Tandaya,1,R2,821,20.4,0.07746
2018,jardin,G_Tandaya,1,R3,503,19,0.05954999999999999
2018,jardin,G_Titsa.Kaprei,1,R2,257,13,0.06548999999999999
2018,jardin,G_Titsa.Kaprei,2,R2,503,11.8,0.05665
2018,jardin,G_Titsa.Kaprei,2,R3,509,13.2,0.05034000000000001
2018,jardin,G_Titsa.Kaprei,3,R3,740,13,0.06206999999999999
2018,jardin,G_Titsa.Kaprei,1,R1,670,12.5,0.05598000000000001
2018,jardin,G_Titsa.Kaprei,1,R3,597,12,0.05521
2018,jardin,G_Titsa.Kaprei,2,R1,471,13,0.05061
2018,jardin,G_Titsa.Kaprei,3,R1,276,12.2,0.06974
2018,jardin,G_Titsa.Kaprei,3,R2,537,14.8,0.06262
2018,jardin,G_Tsolikouri,2,R3,288,24,0.07013
2018,jardin,G_Tsolikouri,1,R1,323,22,0.07797
2018,jardin,G_Tsolikouri,1,R2,365,21,0.07164000000000001
2018,jardin,G_Tsolikouri,1,R3,278,22,0.07225
2018,jardin,G_Tsolikouri,2,R1,268,19,0.08123
2018,jardin,G_Tsolikouri,2,R2,173,22,0.07535
2018,jardin,G_Tsolikouri,3,R1,359,22,0.05659000000000001
2018,jardin,G_Tsolikouri,3,R2,208,20,0.06373999999999999
2018,jardin,G_Tsolikouri,3,R3,197,20,0.05628999999999999
2018,jardin,G_Uva.Rey,1,R1,447,20,0.02929
2018,jardin,G_Uva.Rey,1,R2,311,19,0.038740000000000004
2018,jardin,G_Uva.Rey,1,R3,368,19,0.048679999999999994
2018,jardin,G_Uva.Rey,2,R1,427,15,0.04897
2018,jardin,G_Uva.Rey,2,R2,519,14.8,0.05641
2018,jardin,G_Uva.Rey,3,R1,296,19,0.03824
2018,jardin,G_Uva.Rey,3,R2,343,18.6,0.044230000000000005
2018,jardin,G_Uva.Rey,3,R3,249,19,0.03477999999999999
2018,jardin,G_Varadi,1,R1,130,17.5,0.046979999999999994
2018,jardin,G_Varadi,1,R2,379,16,0.060170000000000015
2018,jardin,G_Varadi,1,R3,343,17,0.06858
2018,jardin,G_Varadi,2,R1,475,17.2,0.08243999999999999
2018,jardin,G_Varadi,2,R2,493,18,0.056679999999999994
2018,jardin,G_Varadi,2,R3,631,16.4,0.07616
