season,family,gid,plant,replicated,B_shape,soluble_solids,S_dry
2020,jardin,G_AK.ouziom,2,R1,1.1349693251533743,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.084848484848485,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.0833333333333333,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.1204819277108435,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.0797546012269938,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.0903954802259888,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.0666666666666667,17,0.03901
2020,jardin,G_AK.ouziom,2,R1,1.2905027932960893,17,0.03901
2020,jardin,G_AK.ouziom,2,R2,1.0297029702970297,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0871794871794873,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0566037735849056,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0632183908045978,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0292682926829269,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0869565217391304,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0444444444444443,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0481283422459893,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.0418848167539267,18,0.06352
2020,jardin,G_AK.ouziom,2,R2,1.125748502994012,18,0.06352
2020,jardin,G_AK.ouziom,2,R3,1.0734463276836157,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.135593220338983,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.109375,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.0710059171597635,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.1818181818181819,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.0714285714285714,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.032085561497326,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.1801242236024843,17,0.05836
2020,jardin,G_AK.ouziom,2,R3,1.0890052356020943,17,0.05836
